Gene,half_life_hr,decay_rate,p_val,geneSymbol
Krt33b,4.165627006,-1.793379727,0.017521778,Krt33b
Krt36,2.974799084,-1.456689423,0.034677333,Krt36
Krt27,0.756198706,-0.087061822,0.892670723,Krt27
Krt1,4.878189274,-1.951287021,2.77E-05,Krt1
Krt84,4.345829818,-1.835729643,6.08E-05,Krt84
Krt6a,3.926379351,-1.734230637,1.94E-12,Krt6a
Krt6b,4.04624716,-1.764302745,5.29E-10,Krt6b
Krt8,5.102048034,-1.996154955,4.64E-05,Krt8
Krtap13,3.798865889,-1.701215492,0.159981534,Krtap13
Krtap8-1,12.23027908,-2.870427689,0.141022491,Krtap8-1
Ksr1,1.892392464,-1.004354803,1.26E-05,Ksr1
Ktn1,5.223818726,-2.019741612,3.43E-05,Ktn1
L1cam,4.470509329,-1.864015266,3.45E-05,L1cam
Lad1,3.838206565,-1.711518138,2.54E-08,Lad1
Aff3,1.201798353,-0.550331983,0.004128841,Aff3
Stmn1,10.15156305,-2.684140609,0.000405538,Stmn1
Lag3,4.638581881,-1.900921611,2.54E-05,Lag3
Dsg4,1.675526083,-0.882640116,0.007063096,Dsg4
Lama1,7.025941353,-2.316122127,0.00168018,Lama1
Lama2,12.03739768,-2.854531197,0.006826991,Lama2
Lama3,7.324079675,-2.357680426,0.00045402,Lama3
Lama4,3.9789922,-1.747541492,0.000270385,Lama4
Lama5,5.303318324,-2.034845644,9.71E-05,Lama5
Lamb1,7.159434061,-2.334943857,0.00046851,Lamb1
Lamb2,5.057898393,-1.98746398,6.37E-06,Lamb2
Lamb3,7.919300706,-2.435815828,0.000775096,Lamb3
Lamc2,13.25865157,-2.951163209,0.004892793,Lamc2
Lamp1,7.082980388,-2.324207698,1.11E-06,Lamp1
Lamp2,5.343378225,-2.042371,2.82E-06,Lamp2
Rpsa,11.76267185,-2.831444035,0.000713603,Rpsa
Anpep,3.811497945,-1.704535194,4.78E-06,Anpep
Laptm5,2.351666662,-1.221637215,5.31E-06,Laptm5
Large,3.190149987,-1.526580854,1.07E-05,Large
Lasp1,3.743802666,-1.686614771,2.19E-06,Lasp1
Lat,3.332494574,-1.570234065,4.72E-06,Lat
Lats1,2.839642515,-1.41019109,3.70E-05,Lats1
Arhgef2,2.130973525,-1.12309185,1.14E-05,Arhgef2
Arhgef1,4.181284517,-1.797131421,3.46E-07,Arhgef1
Lbx2,2.950936219,-1.448635403,0.042439,Lbx2
Lcat,5.102245781,-1.996193713,1.03E-06,Lcat
Lck,3.718442344,-1.679817776,9.52E-06,Lck
Lcn2,4.62573502,-1.898148202,2.35E-09,Lcn2
Lcp2,1.326419297,-0.648995974,0.000231385,Lcp2
Ldb1,3.395184254,-1.588870952,1.02E-07,Ldb1
Ldha,7.184469341,-2.338434581,0.000191494,Ldha
Ldhb,11.04675819,-2.768649929,0.003528264,Ldhb
Cog1,2.409010035,-1.24572881,5.70E-06,Cog1
Ldlr,2.668461522,-1.348015018,5.67E-07,Ldlr
Lef1,2.244012225,-1.174778356,0.000115038,Lef1
Lfng,2.767498483,-1.384456758,0.000346791,Lfng
Lgals1,6.348161645,-2.214678187,0.000222319,Lgals1
Lgals3,5.456944006,-2.063401848,3.08E-06,Lgals3
Lgals4,4.43793395,-1.856701862,8.79E-06,Lgals4
Lgals7,6.421263901,-2.226127888,1.43E-05,Lgals7
Lgals9,3.264008112,-1.549468843,8.60E-07,Lgals9
Eif2d,5.252630645,-2.025241947,1.80E-06,Eif2d
Lhb,8.627404891,-2.521456673,0.016148805,Lhb
Lhx2,4.352655483,-1.837299035,4.35E-07,Lhx2
Lhx3,1.776828525,-0.941342968,0.000151644,Lhx3
Lif,1.768099524,-0.936418175,0.010062906,Lif
Lifr,2.559609849,-1.306367765,3.14E-05,Lifr
Lig1,5.618953534,-2.092658363,0.000119321,Lig1
Lig3,3.284753673,-1.555804584,5.94E-06,Lig3
Limk1,2.893025512,-1.428815765,2.25E-07,Limk1
Limk2,3.988076402,-1.74982193,9.35E-09,Limk2
Lipa,2.542027807,-1.299475032,3.48E-07,Lipa
Lipe,2.506859251,-1.285543596,4.49E-08,Lipe
Lipg,4.72047926,-1.918423253,1.38E-06,Lipg
Llgl1,2.729069451,-1.370473611,7.34E-08,Llgl1
Rps2,3.976214846,-1.746843244,4.87E-05,Rps2
Gzmm,4.544868149,-1.880511638,1.29E-06,Gzmm
Lmna,4.56190084,-1.884252308,1.21E-07,Lmna
Lmnb1,4.14865275,-1.789296564,1.23E-05,Lmnb1
Lmnb2,3.92206763,-1.733131892,2.16E-06,Lmnb2
Lmo2,1.755693303,-0.929376744,2.20E-09,Lmo2
Lmo4,4.858581384,-1.94725942,6.95E-08,Lmo4
Psmb9,2.50300716,-1.284005794,6.71E-05,Psmb9
Psmb8,2.601698373,-1.322677373,8.16E-06,Psmb8
Lmx1b,1.867254174,-0.990981916,0.014678452,Lmx1b
Mycl,3.126231362,-1.506341162,5.93E-06,Mycl
Phyh,3.77636984,-1.695276109,3.81E-07,Phyh
Sh2b3,2.247303345,-1.176243905,4.22E-05,Sh2b3
Lnx1,3.455799796,-1.60656684,3.48E-05,Lnx1
Lor,4.629183627,-1.898893451,0.001492129,Lor
Lox,8.952378134,-2.558432131,0.001530069,Lox
